idNum,invitationId,sekerID,device,useragent,startTime,endTime,totime,crq,clq,stat,tnay,q1,q2,q3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q5_13,q6,q7_1,q7_2,q7_3,q7_4,q7_5,q8,q9,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_tv6,q11,q12,q13,q14,userId,sex,byear,fstat,kids,rel,relid,nafa,ses,edu,osek,cbor,cborfa,cborma,alyayear,ykid,okid,svote,vote2022
1,120920689,422721,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:02:24 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360387,1,2006,1,0,1,1,6,3,0,0,0,0,0,0,,,3,16
2,120920773,422723,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:03:43 pm,,,7,0,4,1,2,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,,,,,,,,,,,,,,337618,1,1997,1,0,1,2,5,2,5,5,IL,IL,IL,0,0,0,2,3
3,120920913,422726,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.33 Mobile/15E148 Safari/604.1",6/22/2025 3:05:07 pm,6/22/2025 3:09:33 pm,266,14,0,1,1,1,3,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1,1,0,1,1,4,2,0,0,0,0,0,1,Yad2,3,2,1,5,344692,1,1980,1,0,1,1,5,3,9,5,IL,IL,US,0,0,0,1,15
4,120920845,422725,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:05:33 pm,6/22/2025 3:09:41 pm,248,14,0,1,1,2,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,1,2,3,0,0,0,1,0,0,,2,2,2,2,331412,1,1988,2,3,1,3,7,2,9,5,IL,IL,IL,0,2024,2018,1,3
5,120920909,422726,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:06:07 pm,6/22/2025 3:09:07 pm,180,14,0,1,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,3,1,0,0,0,0,0,,3,3,1,4,384486,1,1979,2,2,1,1,5,3,9,5,IL,IL,IL,0,2017,2015,2,7
6,120921093,422728,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:06:44 pm,6/22/2025 3:10:27 pm,223,14,0,1,1,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,3,1,0,0,0,0,0,,2,2,2,4,273813,1,1956,2,3,1,1,6,5,9,15,IL,IL,PL,0,1988,1980,2,2
7,120920839,422725,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:06:44 pm,,,4,0,4,1,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278931,1,1981,2,2,1,1,4,3,11,11,IL,EG,EG,1955,2018,2014,3,2
8,120921077,422728,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:06:49 pm,6/22/2025 3:12:11 pm,322,14,0,1,1,2,4,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,2,3,1,0,0,1,1,0,,1,4,2,3,315506,1,1957,2,2,1,1,5,3,9,5,AR,AR,IL,1976,1988,1985,5,9
9,120921006,422727,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:06:49 pm,,,2,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160003,1,1967,2,3,1,1,4,6,11,5,IL,IT,BG,0,2015,2006,3,4
10,120921016,422728,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:07:10 pm,6/22/2025 3:11:08 pm,238,14,0,1,1,1,2,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,2,1,0,0,1,0,1,0,,3,2,2,4,110240,1,1958,2,3,1,1,4,4,9,13,IL,MA,MA,0,1999,1986,3,4
